name,address,type,algebra_pool,new_symbol,new_type,gauges,fee_ca,bribe_ca,new_name
sAMM-HAY/CUSD,0xaD0B947374FeB8e21D7CFFdfE394d2C59F5e06Aa,sAMM,,lisUSD/CUSD,Stable,0x0A244dc63658ebE1654eFF2889e0F80cD1F07aaB,0xcE4dc84023DA52F4AE578caCD8a4982b90ae0197,0x1E83DcFe8C1D2e434F447B7968fFF9F063719A14,lisUSD/CUSD - Stable
aFTM-WBNB 6e6B,0xDEba7Bd1a7554B50De71ba9a194FCc369B326e6B,CL,0xf6814792050cCD1c603d8a95468d6D9587eCBDAF,FTM/BNB,Wide,0xD3BE973Bcbac45B8209f0DDEd1EFa5e8B91297e1,0x53441631792e075aDDCd8524c0d6ecB78f28F3E7,0x8163E26CE7961Ff885c998897b8E4222c4CFde0F,FTM/BNB - Wide
aBNBX-WBNB 7677,0x2ecBD508c00Bbc8aA0cdc9100bf3956fCabE7677,CL,0xf2A4e4261FCDfBB891BCF703640Fbe713c6cD0fE,BNBx/BNB,Correlated,0xf50Af14BC4953Dcf9d27EbCA8BB3625855F5B42d,0x2d50f6bC70D4B90B87Ae9d3C13e4EA89A6395DAe,0x3eCa692201aD45f56e139EA7a44b068d09F8eaA5,BNBx/BNB - Correlated
sAMM-FRAX/CUSD,0x338cA7eD1D6BeDe03799a36a6f90E107d24Dc6aD,sAMM,,FRAX/CUSD,Stable,0x01770eFfbfAEB3aF342b86777F3d5939970E0605,0x7a25f5C5E1D3f007A1F880Cb23037c7313A23b25,0xA1De3d1387EaF152f4A4426D9c8701b6abCEEE85,FRAX/CUSD - Stable
aDOGE-WBNB 3427,0x99621c478E1E668e9E0714dd1Ade5Ce60Df23427,CL,0xfF4840a06708E53b620E2670295265029fA72a78,DOGE/BNB,Wide,0xBE60a65c7ED8f8358094Ece60E75BAa8264B36dC,0x9220e376E3638435302F52CEffD2F25E9fFc82fb,0x73048462F5ABC44e21b597f45c41B1a73AD22A95,DOGE/BNB - Wide
aWBNB-OATH d561,0x3Bc5650D2aFE11AEB805E230968018293befd561,CL,0x055557c6606f7b0d34e617653c447f079B0B0a73,BNB/OATH(old),Narrow,0x79bA07Ddeb03fD3561ED9205C6ce5c25A2B7F317,0x9512F42fD844b5De0762Ba1b5302783f0B5d7F5B,0xBABaF87334253F1eF16Ee54b5463700BeA10680C,BNB/OATH(old) - Narrow
vAMM-CHAM/BUSD,0xDf63A43aEFb5c1Aa4040a3a121d2a8C00EeBE7d8,vAMM,,CHAM/BUSD,Volatile,0xF8e815A9BF9B9b8A1Ad4750592ceF87207b29a20,0xe325a08bF922A745b219cc49e7d71fa27531F14B,0x1a4bd9AF457618a85E0c1524dCA37dff1d8020Be,CHAM/BUSD - Volatile
aFIL-WBNB 19B5,0xc89004ce7becd2b39c44260327a603885da119B5,CL,0x17661065fBc18e782A259Db2022bC23bC74Bd942,FIL/BNB,Narrow,0x786958E9DA2627510D0c8De0bF59bE994653f26a,0x77EE0433e7Fc2c44B6AE075Fd33E3955baF2DB5d,0x96029F9afc65F6B0f34c337d1Bf12C62e4B5B478,FIL/BNB - Narrow
IV-19-THE 6683,0x54d59CbE2a6711A766a70932a1d41C2993616683,CL,0x2a8E116756C79dA4205eb8252ffc4a5Cd667B0C1,ETH/frxETH,ICHI,0x50C13a63d95bDFd2b279c9E6431a58bF08e39E1D,0xBBB9EEB5A24A1825A529A20DD65E19435b12e448,0x968705ac5BA14b1A600F971e906Ecd764f8f74e2,ETH/frxETH - ICHI
aHAY-USDT 54c4,0xDf0B9b59E92A2554dEdB6F6F4AF6918d79DD54c4,CL,0x5B0BAf66718caaBDa49A4Af32eB455c3b99B5821,lisUSD/USDT,CL_Stable,0x2Da06b6338f3d503cb2F0ee0e66C8e98A6d8001C,0xb2FE5f1BAb7181892305F411Ca5F5678a3248004,0x86B6d95D8b4571613ea256F8ECEEA1f3D61B6951,lisUSD/USDT - CL_Stable
