[2023-02-10 18:08:01,736] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 18:08:02,673] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 18:08:19,544] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 18:08:19,544] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 18:08:45,827] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 19:03:20,124] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 19:03:23,325] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 19:03:24,224] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 19:04:22,963] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 19:04:22,963] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 19:04:45,974] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 20:06:31,751] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 20:06:34,354] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 20:06:35,385] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 20:06:49,989] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 20:06:49,990] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 20:07:15,675] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 21:03:48,954] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 21:03:52,004] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 21:03:53,066] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 21:04:07,873] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 21:04:07,873] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 21:04:31,546] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 22:04:58,734] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 22:05:01,603] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 22:05:02,713] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 22:05:17,097] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 22:05:17,097] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 22:05:41,661] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
