[2023-09-01 04:11:51,184] 	INFO 	161 	day_data.py 	<module>() 	Day Data Combined Ended
[2023-09-01 04:11:52,367] 	INFO 	37 	pair_data.py 	<module>() 	Pair Data Started
[2023-09-01 04:13:03,760] 	INFO 	111 	pair_data.py 	<module>() 	Pair Data Ended
[2023-09-01 04:13:03,760] 	INFO 	127 	pair_data.py 	<module>() 	Pair Data Fusion Started
[2023-09-01 04:13:28,957] 	INFO 	194 	pair_data.py 	<module>() 	Pair Data Fusion Ended
[2023-09-01 04:13:28,957] 	INFO 	201 	pair_data.py 	<module>() 	Pair Data Combined Started
[2023-09-01 04:13:54,147] 	INFO 	231 	pair_data.py 	<module>() 	Pair Data Combined Ended
[2023-09-01 04:13:55,368] 	INFO 	38 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-09-01 04:24:01,124] 	INFO 	146 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-09-01 04:24:02,373] 	INFO 	38 	fee_data.py 	<module>() 	Fee Data Started
[2023-09-01 04:33:47,586] 	ERROR 	137 	fee_data.py 	<module>() 	Error occurred during Fee Data process. Error: 'address'
[2023-09-01 04:33:48,461] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-09-01 04:34:00,495] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
[2023-09-01 05:05:44,390] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-09-01 05:08:18,366] 	INFO 	120 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-09-01 05:08:19,190] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-09-01 05:08:21,665] 	INFO 	72 	day_data.py 	<module>() 	Day Data Ended
[2023-09-01 05:08:21,666] 	INFO 	78 	day_data.py 	<module>() 	Day Data Fusion Started
[2023-09-01 05:08:24,219] 	INFO 	124 	day_data.py 	<module>() 	Day Data Fusion Ended
[2023-09-01 05:08:24,219] 	INFO 	131 	day_data.py 	<module>() 	Day Data Combined Started
[2023-09-01 05:08:28,464] 	INFO 	161 	day_data.py 	<module>() 	Day Data Combined Ended
[2023-09-01 05:08:29,476] 	INFO 	37 	pair_data.py 	<module>() 	Pair Data Started
[2023-09-01 05:09:38,872] 	INFO 	111 	pair_data.py 	<module>() 	Pair Data Ended
[2023-09-01 05:09:38,872] 	INFO 	127 	pair_data.py 	<module>() 	Pair Data Fusion Started
[2023-09-01 05:10:04,088] 	INFO 	194 	pair_data.py 	<module>() 	Pair Data Fusion Ended
[2023-09-01 05:10:04,088] 	INFO 	201 	pair_data.py 	<module>() 	Pair Data Combined Started
[2023-09-01 05:10:17,829] 	INFO 	231 	pair_data.py 	<module>() 	Pair Data Combined Ended
[2023-09-01 05:10:18,895] 	INFO 	38 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-09-01 05:16:25,955] 	INFO 	146 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-09-01 05:16:27,077] 	INFO 	38 	fee_data.py 	<module>() 	Fee Data Started
[2023-09-01 05:18:42,236] 	ERROR 	137 	fee_data.py 	<module>() 	Error occurred during Fee Data process. Error: 429 Client Error: Too Many Requests for url: https://rpc.ankr.com/bsc
[2023-09-01 05:18:42,993] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-09-01 05:18:59,734] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
[2023-09-01 06:08:44,069] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-09-01 06:11:09,749] 	INFO 	120 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-09-01 06:11:10,802] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-09-01 06:11:13,498] 	INFO 	72 	day_data.py 	<module>() 	Day Data Ended
[2023-09-01 06:11:13,498] 	INFO 	78 	day_data.py 	<module>() 	Day Data Fusion Started
[2023-09-01 06:11:16,301] 	INFO 	124 	day_data.py 	<module>() 	Day Data Fusion Ended
[2023-09-01 06:11:16,301] 	INFO 	131 	day_data.py 	<module>() 	Day Data Combined Started
[2023-09-01 06:11:19,600] 	INFO 	161 	day_data.py 	<module>() 	Day Data Combined Ended
[2023-09-01 06:11:20,886] 	INFO 	37 	pair_data.py 	<module>() 	Pair Data Started
[2023-09-01 06:12:32,693] 	INFO 	111 	pair_data.py 	<module>() 	Pair Data Ended
[2023-09-01 06:12:32,693] 	INFO 	127 	pair_data.py 	<module>() 	Pair Data Fusion Started
[2023-09-01 06:13:18,395] 	INFO 	194 	pair_data.py 	<module>() 	Pair Data Fusion Ended
[2023-09-01 06:13:18,395] 	INFO 	201 	pair_data.py 	<module>() 	Pair Data Combined Started
[2023-09-01 06:13:34,963] 	INFO 	231 	pair_data.py 	<module>() 	Pair Data Combined Ended
[2023-09-01 06:13:36,356] 	INFO 	38 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-09-01 06:19:04,244] 	INFO 	146 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-09-01 06:19:05,664] 	INFO 	38 	fee_data.py 	<module>() 	Fee Data Started
[2023-09-01 06:21:27,514] 	ERROR 	137 	fee_data.py 	<module>() 	Error occurred during Fee Data process. Error: 429 Client Error: Too Many Requests for url: https://rpc.ankr.com/bsc
